state,state_name,year,elec_price_cents_kwh,commercial_customers,gas_price_per_gallon,level2_ports,dcfast_ports,total_ports,chargers_per_100k,dcfast_share,charger_price_penalty,population,median_income,median_age,pct_drive_alone,pct_bachelors,pct_no_vehicle,ln_median_income,ln_population
IL,Illinois,2022,11.32,636011,4.234584450402145,3470,2040,5510,43.18982657756133,0.3702359346642468,3.815355704731566,12757634.0,78433.0,38.7,0.7632790339297956,0.15083823536558583,0.009958507980398247,11.27000003614456,16.36164039549042
IN,Indiana,2018,10.6,354730,2.812332439678284,900,504,1404,21.15277820046506,0.358974358974359,1.995545113251421,6637426.0,54325.0,37.6,0.9176079601631375,0.10954668270501246,0.007307652092844425,10.90273980512463,15.708234795694288
IN,Indiana,2019,11.03,358791,2.680965147453083,1080,696,1776,26.64385136871535,0.3918918918918919,2.4155803598110017,6665703.0,56303.0,37.7,0.915171152388474,0.11237794423183871,0.007214092797113823,10.938503098676163,15.712485982401796
IN,Indiana,2020,11.21,363465,2.199731903485255,1364,872,2236,33.38861767688389,0.38998211091234347,2.978467232549856,6696893.0,58235.0,37.8,0.9024398351598776,0.11511323236014075,0.007190199992742903,10.972241827536752,15.717154245461279
IN,Indiana,2021,11.58,364549,3.1072386058981234,1588,1020,2608,38.62936839205254,0.3911042944785276,3.3358694639078186,6751340.0,61944.0,37.9,0.8891112430881883,0.11819535084886852,0.00720005213779783,11.03398603006656,15.725251561665038
IN,Indiana,2022,12.86,370420,4.092493297587131,1588,1020,2608,38.441112652063865,0.3911042944785276,2.989200050704811,6784403.0,67173.0,38.0,0.877595746087046,0.1202542065971022,0.007528591683011755,11.115026660059447,15.730136859170631
KS,Kansas,2018,10.66,234091,2.841823056300268,988,168,1156,39.74180205007192,0.1453287197231834,3.728124019706559,2908776.0,57422.0,36.5,0.913445050991151,0.13561099238992622,0.004804770116365096,10.958182784137781,14.883242932106176
KS,Kansas,2019,10.29,235236,2.707774798927614,1152,240,1392,47.8243362655515,0.1724137931034483,4.647651726487027,2910652.0,59597.0,36.7,0.9128691033677525,0.13774851820142017,0.004719217549882295,10.995360516216094,14.883887669033925
KS,Kansas,2020,10.4,236430,2.222520107238606,1204,272,1476,50.67604104759325,0.1842818428184282,4.872696254576274,2912619.0,61091.0,36.9,0.8965725833116961,0.14088488745009217,0.004571487036237833,11.020119834801047,14.88456323439051
KS,Kansas,2021,10.52,245045,3.1394101876675604,1468,272,1740,59.343153147284596,0.15632183908045977,5.640984139475722,2932099.0,64521.0,37.0,0.8797803213313926,0.14160538235577994,0.004401624911027902,11.074746031189092,14.891229106766527
KS,Kansas,2022,11.51,245577,4.134048257372654,1468,272,1740,59.26587967936478,0.15632183908045977,5.1490772962089295,2935922.0,69747.0,37.1,0.8642171407777501,0.1421233261646597,0.004544739267596346,11.152629688005934,14.892532101606147
KY,Kentucky,2018,9.74,305417,2.908847184986595,408,195,603,13.580457114132594,0.32338308457711445,1.3942974449828125,4440204.0,48392.0,38.7,0.9169166653279279,0.09367520050880546,0.008715590544938926,10.78708978978675,15.30621087929887
KY,Kentucky,2019,10.15,309830,2.772117962466488,507,243,750,16.85752380507128,0.324,1.660839783750865,4449052.0,50589.0,38.9,0.9156908737194641,0.09639042204946133,0.008607901188837532,10.831489440338295,15.308201597739654
KY,Kentucky,2020,10.34,312014,2.274798927613941,630,267,897,20.103309045009897,0.2976588628762542,1.944227180368462,4461952.0,52238.0,39.0,0.9032907636055323,0.10037848905591096,0.008452578602369545,10.863565478378225,15.311096896408909
KY,Kentucky,2021,10.75,316806,3.21313672922252,873,387,1260,28.036503527592924,0.30714285714285716,2.608046839776086,4494141.0,55454.0,39.0,0.8914056172892277,0.10276513353719877,0.008176423481150235,10.923309127237175,15.31828510640211
KY,Kentucky,2022,11.78,318516,4.2319034852546915,1146,393,1539,34.17770853898624,0.2553606237816764,2.9013334922738743,4502935.0,60183.0,39.1,0.8808459224805113,0.10618274525392883,0.008186660478110388,11.005145199390197,15.320239964358295
